Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country;
Khanyi M,2019-03-21 07:16:08,00:10:05,,Dynasty: Season 2: The Butler Did It (Episode 3),,Android DefaultWidevineL3Phone Android Phone,00:36:08,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 06:35:57,00:26:06,,Dynasty: Season 2: The Butler Did It (Episode 3),,Android DefaultWidevineL3Phone Android Phone,00:27:02,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 06:32:34,00:03:11,,Dynasty: Season 2: Ship of Vipers (Episode 2),,Android DefaultWidevineL3Phone Android Phone,00:42:07,00:42:07,ZA (South Africa);
Khanyi M,2019-03-21 06:01:25,00:12:52,,Dynasty: Season 2: Ship of Vipers (Episode 2),,Android DefaultWidevineL3Phone Android Phone,00:38:59,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 05:14:51,00:10:12,,Dynasty: Season 2: Ship of Vipers (Episode 2),,Android DefaultWidevineL3Phone Android Phone,00:26:08,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 22:05:50,00:17:22,,Dynasty: Season 2: Ship of Vipers (Episode 2),,Android DefaultWidevineL3Phone Android Phone,00:18:29,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 21:43:09,00:17:41,,Dynasty: Season 2: Twenty-Three Skidoo (Episode 1),,Android DefaultWidevineL3Phone Android Phone,00:42:18,00:42:18,ZA (South Africa);
Khanyi M,2019-03-20 21:06:26,00:24:13,,Dynasty: Season 2: Twenty-Three Skidoo (Episode 1),,Android DefaultWidevineL3Phone Android Phone,00:24:40,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 21:03:48,00:00:02,,Dynasty: Season 1: Dead Scratch (Episode 22),,Android DefaultWidevineL3Phone Android Phone,00:00:05,00:00:05,ZA (South Africa);
Khanyi M,2019-03-20 18:52:55,00:30:10,,What's Wrong with Secretary Kim: Season 1: Episode 6,,Android DefaultWidevineL3Phone Android Phone,00:31:58,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 18:51:40,00:00:02,,Dynasty: Season 1: Dead Scratch (Episode 22),,Android DefaultWidevineL3Phone Android Phone,00:00:02,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 18:01:38,00:43:35,,Dynasty: Season 1: Dead Scratch (Episode 22),,Android DefaultWidevineL3Phone Android Phone,00:43:36,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 17:42:18,00:19:13,,Dynasty: Season 1: Trashy Little Tramp (Episode 21),,Android DefaultWidevineL3Phone Android Phone,00:42:10,00:42:10,ZA (South Africa);
Khanyi M,2019-03-20 17:33:48,00:02:08,,Dynasty: Season 1: Trashy Little Tramp (Episode 21),,Android DefaultWidevineL3Phone Android Phone,00:22:59,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 16:56:13,00:20:05,,Dynasty: Season 1: Trashy Little Tramp (Episode 21),,Android DefaultWidevineL3Phone Android Phone,00:20:53,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 16:15:30,00:40:38,,Dynasty: Season 1: A Line from the Past (Episode 20),,Android DefaultWidevineL3Phone Android Phone,00:41:29,00:41:29,ZA (South Africa);
Khanyi M,2019-03-20 15:03:05,00:41:24,,Dynasty: Season 1: Use or Be Used (Episode 19),,Android DefaultWidevineL3Phone Android Phone,00:42:17,00:42:17,ZA (South Africa);
Khanyi M,2019-03-20 14:53:46,00:09:15,,Dynasty: Season 1: Don’t Con a Con Artist (Episode 18),,Android DefaultWidevineL3Phone Android Phone,00:42:15,00:42:15,ZA (South Africa);
Khanyi M,2019-03-20 14:05:47,00:03:41,,Dynasty: Season 1: Don’t Con a Con Artist (Episode 18),,Android DefaultWidevineL3Phone Android Phone,00:33:00,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 13:17:32,00:23:04,,Dynasty: Season 1: Don’t Con a Con Artist (Episode 18),,Android DefaultWidevineL3Phone Android Phone,00:29:47,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 09:53:47,00:05:59,,Dynasty: Season 1: Don’t Con a Con Artist (Episode 18),,Android DefaultWidevineL3Phone Android Phone,00:06:22,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 07:41:19,00:07:35,,Dynasty: Season 1: Enter Alexis (Episode 17),,Android DefaultWidevineL3Phone Android Phone,00:42:12,00:42:12,ZA (South Africa);
Khanyi M,2019-03-20 06:59:52,00:08:30,,Dynasty: Season 1: Enter Alexis (Episode 17),,Android DefaultWidevineL3Phone Android Phone,00:35:01,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 01:25:58,00:07:27,,Dynasty: Season 1: Enter Alexis (Episode 17),,Android DefaultWidevineL3Phone Android Phone,00:26:34,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 00:50:50,00:18:33,,Dynasty: Season 1: Enter Alexis (Episode 17),,Android DefaultWidevineL3Phone Android Phone,00:19:11,Not latest view,ZA (South Africa);
Khanyi M,2019-03-20 00:03:17,00:41:01,,Dynasty: Season 1: Poor Little Rich Girl (Episode 16),,Android DefaultWidevineL3Phone Android Phone,00:41:51,00:41:51,ZA (South Africa);
Khanyi M,2019-03-19 23:44:07,00:18:49,,Dynasty: Season 1: Our Turn Now (Episode 15),,Android DefaultWidevineL3Phone Android Phone,00:42:14,00:42:14,ZA (South Africa);
Khanyi M,2019-03-19 18:21:29,00:11:07,,Dynasty: Season 1: Our Turn Now (Episode 15),,Android DefaultWidevineL3Phone Android Phone,00:23:50,Not latest view,ZA (South Africa);
Khanyi M,2019-03-19 18:06:37,00:05:21,,Dynasty: Season 1: Our Turn Now (Episode 15),,Android DefaultWidevineL3Phone Android Phone,00:12:45,Not latest view,ZA (South Africa);
Khanyi M,2019-03-19 17:57:31,00:06:34,,Dynasty: Season 1: Our Turn Now (Episode 15),,Android DefaultWidevineL3Phone Android Phone,00:07:25,Not latest view,ZA (South Africa);
Khanyi M,2019-03-19 17:24:45,00:32:20,,Dynasty: Season 1: The Gospel According to Blake Carrington (Episode 14),,Android DefaultWidevineL3Phone Android Phone,00:42:14,00:42:14,ZA (South Africa);
Khanyi M,2019-03-19 17:05:22,00:09:35,,Dynasty: Season 1: The Gospel According to Blake Carrington (Episode 14),,Android DefaultWidevineL3Phone Android Phone,00:09:54,Not latest view,ZA (South Africa);
Khanyi M,2019-03-19 13:50:02,01:03:51,,What's Wrong with Secretary Kim: Season 1: Episode 5,,Android DefaultWidevineL3Phone Android Phone,01:04:23,01:04:23,ZA (South Africa);
Khanyi M,2019-03-18 20:25:52,00:34:39,,The Disappearance of Madeleine McCann: Season 1: The Beneath Truth (Episode 1),,Android DefaultWidevineL3Phone Android Phone,00:34:39,00:34:39,ZA (South Africa);
Khanyi M,2019-03-18 20:23:43,00:00:35,,Dynasty: Season 1: Nothing But Trouble (Episode 13),,Android DefaultWidevineL3Phone Android Phone,00:42:48,Not latest view,ZA (South Africa);
Khanyi M,2019-03-18 20:05:48,00:16:24,,Dynasty: Season 1: Nothing But Trouble (Episode 13),,Android DefaultWidevineL3Phone Android Phone,00:41:46,Not latest view,ZA (South Africa);
Khanyi M,2019-03-18 19:49:50,00:12:12,,Dynasty: Season 1: Nothing But Trouble (Episode 13),,Android DefaultWidevineL3Phone Android Phone,00:25:57,Not latest view,ZA (South Africa);
Khanyi M,2019-03-18 18:47:02,00:58:35,,What's Wrong with Secretary Kim: Season 1: Episode 4,,Android DefaultWidevineL3Phone Android Phone,01:05:26,01:05:26,ZA (South Africa);
Khanyi M,2019-03-18 17:05:19,00:24:53,,Chef's Table: Volume 1: Ben Shewry (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:24:52,Not latest view,ZA (South Africa);
